lat,lon,theta,delta_theta,y1,y2
30.5,-128.25,0.12695890043586106,1.305056145532033,0.2626235397244895,0.9648983761943947
30.5,-128.0,0.5280373219929291,1.7061345670891015,-0.13492546605974923,0.9908557506562494
30.5,-127.75,0.791978774926179,1.9700760200223515,-0.3887547948708522,0.9213412557054642
30.5,-127.5,0.9357542991521075,2.1138515442482797,-0.5167540745478497,0.856133883477459
30.5,-127.25,1.3984990511577933,2.5765962962539657,-0.8445905507577601,0.5354127394549959
30.5,-127.0,1.5045720576930335,2.682669302789206,-0.8965299544670234,0.44298311564139425
30.5,-126.75,1.3530310539751265,2.531128299071299,-0.8193819158930944,0.5732480055851585
30.5,-126.5,1.0248476626137997,2.2029449077099716,-0.590879509226328,0.8067598190145898
30.75,-128.25,0.4970890293696066,1.675186274465779,-0.10420045685960036,0.994556315544902
30.75,-128.0,1.053085223268928,2.2311824683651,-0.6134218550970827,0.7897554227032909
30.75,-127.75,1.4466215685973596,2.6247188136935318,-0.869368263469245,0.49416477259358477
30.75,-127.5,1.7571306777190707,2.935227922815243,-0.9787822584923854,0.2049031245748714
30.75,-127.25,2.171178456349124,-2.9339096057342893,-0.978511280739515,-0.2061932915143313
30.75,-127.0,2.2083518290727473,-2.8967362330106665,-0.9701721410694433,-0.24241703053360814
30.75,-126.75,1.977358477288971,-3.1277295847944426,-0.999903909200734,-0.013862624754719072
30.75,-126.5,1.325797771643739,2.5038950167399117,-0.8034685915429877,0.5953471444492933
31.0,-128.25,0.8116034936853868,1.9897007387815595,-0.40675983924149817,0.9135351296913713
31.0,-128.0,1.2152111312594776,2.39330837635565,-0.732857294501021,0.6803823821180586
31.0,-127.75,1.3584362847446676,2.53653352984084,-0.8224684688486124,0.5688107046723182
31.0,-127.5,1.434675043478175,2.612772288574347,-0.8634028148769549,0.5045151923010354
31.0,-127.25,1.5370529842412006,2.7151502293373735,-0.910443043917068,0.4136344567163425
31.0,-127.0,1.4078125343780286,2.5859097794742008,-0.8495404061961754,0.5275235523083659
31.0,-126.75,0.6863442734382023,1.8644415185343748,-0.28944330024685216,0.9571951608434983
